origin_country,destination_country,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score,placement_status
UK,South Africa,Medicine,-1.880997899716016,No,Higher Ranking,-2.4744760160954375,0.6312499625266046,J1,Post-Study Visa,None,-2.529993008439743,1
Germany,South Africa,Medicine,-1.8038605561288394,Yes,Scholarship,-1.609930086093365,-0.8382328338079958,Tier 4,PSW,Duolingo,0.3990849969240559,0
Canada,India,Medicine,-1.7979552760250002,Yes,Scholarship,-2.344166650068935,-1.6185815231703178,J1,Blue Card,IELTS,0.2026043671870997,1
USA,Germany,Business,1.811272749554509,No,Job Opportunities,1.497207544230784,-0.4474225229824915,J1,Blue Card,TOEFL,0.4926607894540977,1
India,South Africa,Computer Science,0.8474314835218031,No,Quality of Life,0.7591122927380485,-0.7607513832532814,Study Permit,Post-Study Visa,PTE,0.7161271580324856,0
UAE,Finland,Arts,-0.043464166511189395,No,Quality of Life,0.8559500378734939,0.8373589494126737,Tier 4,PSW,Duolingo,1.0756181885028568,1
Germany,Finland,Social Sciences,1.7864378766427191,No,Quality of Life,0.7064124235507461,1.5003631818754657,Schengen Student Visa,Blue Card,PTE,1.14702663474039,0
UK,USA,Natural Sciences,-0.9880817349220853,Yes,Job Opportunities,-1.5015689284125122,-0.5279415099434368,Tier 4,OPT,IELTS,0.9011324364733863,0
Ireland,UAE,Medicine,0.8999739693240526,Yes,Political Stability,1.6249101027291386,-1.9827759410793453,F1,Work Permit,Duolingo,-0.07732178077485474,1
Ireland,USA,Law,-0.05846864013218835,No,Quality of Life,0.005817912995792592,1.4866594925158965,Study Permit,OPT,TOEFL,0.35815826787930216,1
UK,Canada,Natural Sciences,1.8268071353527244,No,Job Opportunities,1.5767180671702923,0.505749071329848,Tier 4,Blue Card,None,-2.499909504565899,1
Ireland,UK,Business,0.03341076679733527,No,Job Opportunities,-0.7356100135450131,-1.6542188935402513,J1,Blue Card,IELTS,1.0985290382449056,0
Ireland,UK,Law,-1.8593039298829144,No,Job Opportunities,-1.5718654031803152,2.219471681644441,Study Permit,Post-Study Visa,TOEFL,0.20371712185795832,1
Russia,Germany,Computer Science,1.7350996698630214,Yes,Job Opportunities,2.2413157087561677,0.8794157039552362,J1,OPT,PTE,0.007794232839637649,1
Finland,Russia,Social Sciences,1.7752444428398886,Yes,Job Opportunities,1.512756737362269,-1.3813813097461078,Schengen Student Visa,Work Permit,IELTS,0.07419434286863782,1
USA,Ireland,Business,1.783390493797254,No,Higher Ranking,1.441322395698986,0.8100157465138919,Tier 4,Work Permit,Duolingo,1.4010486658879593,1
Ireland,Canada,Law,-1.8224811618744654,Yes,Higher Ranking,-0.7623827417000104,-0.16509026289431233,J1,OPT,IELTS,0.3731998342918374,1
South Africa,Ireland,Law,1.8351547669234842,Yes,Higher Ranking,0.7612800461096189,0.9545371050704881,Tier 4,Blue Card,IELTS,0.20662145458904974,1
South Africa,South Africa,Law,0.9121916702037505,Yes,Quality of Life,1.5748312768556232,-0.6643213742073779,Student Visa,Blue Card,None,0.7755157700827706,1
UK,UAE,Arts,-0.9815711081623794,No,Higher Ranking,-1.6028950150815169,1.4426116063530807,Schengen Student Visa,Post-Study Visa,Duolingo,1.4193434421481907,0
Canada,Germany,Natural Sciences,1.8531189688120902,No,Quality of Life,2.3304464608299864,0.42485374208380566,Schengen Student Visa,PSW,Duolingo,1.5173801694642794,1
Germany,UAE,Law,1.8803516201967077,No,Quality of Life,1.482970676859372,-0.8707543830058256,J1,Post-Study Visa,TOEFL,0.30538763080775455,0
Canada,Russia,Engineering,-0.03580394687215912,No,Quality of Life,-0.8880747790098313,0.6380706603340796,Study Permit,OPT,Duolingo,0.1083222525801015,1
South Africa,UK,Natural Sciences,0.06488070411795002,No,Scholarship,-0.7560869979397382,1.2059298218739742,Schengen Student Visa,PSW,TOEFL,1.2305222157997342,0
USA,Germany,Computer Science,-0.9936814490566197,Yes,Job Opportunities,-0.8556140313410995,1.209108322543616,F1,OPT,None,-2.5185308539224756,1
Ireland,Ireland,Computer Science,-0.05054735837638772,Yes,Quality of Life,0.764878642171033,-1.9692892991520172,Tier 4,Post-Study Visa,TOEFL,0.4400721135178465,1
UK,USA,Medicine,0.8275945140465863,Yes,Political Stability,0.7408556780176916,-0.8514676226049356,Student Visa,OPT,IELTS,0.23596823790626625,1
USA,USA,Natural Sciences,1.8532175625818916,No,Job Opportunities,2.250803045595413,-0.3744756156155759,Tier 4,OPT,Duolingo,1.0341066860904826,0
UK,Canada,Medicine,-0.01661725733193961,No,Scholarship,-0.008116794711218362,1.2360081659012934,Schengen Student Visa,OPT,PTE,0.9236357040721009,0
India,Germany,Natural Sciences,-0.04785846147180203,Yes,Political Stability,-0.0631471527661795,1.8449078509128374,Tier 4,Blue Card,IELTS,-2.466256075209559,0
Russia,Canada,Law,-1.8815013097126227,No,Political Stability,-2.365090094728615,0.9288825832243306,J1,Blue Card,None,-2.44349319874369,0
Germany,UK,Business,1.8496248978359948,No,Quality of Life,2.3230896609194542,2.153355415205157,Tier 4,PSW,PTE,0.8889005773977277,0
Germany,Russia,Arts,0.843421454135683,No,Scholarship,0.7867016206540293,0.2804900701027206,F1,OPT,PTE,0.3308144724836236,0
UAE,Germany,Business,0.9589303975231183,Yes,Political Stability,1.6030542321113357,1.760068392278896,J1,Work Permit,None,-2.6028221811312107,1
India,Canada,Social Sciences,-1.7948818924259944,Yes,Higher Ranking,-0.8139058395058705,0.22452952099550733,Schengen Student Visa,Work Permit,Duolingo,1.1876620011069094,1
Canada,India,Social Sciences,-0.8471915628548017,No,Scholarship,0.03299596870723957,-1.5257160526007636,Study Permit,Post-Study Visa,PTE,0.8653753139061866,1
Finland,Finland,Medicine,0.902247197901963,Yes,Job Opportunities,-0.02444329271128901,1.3349036443333766,Study Permit,Post-Study Visa,PTE,0.09485634689004689,1
Ireland,USA,Social Sciences,0.8618839099163176,No,Quality of Life,0.8093138015002859,0.9959080320908094,F1,PSW,None,0.8241555882608776,0
USA,UAE,Computer Science,0.9403700410739372,Yes,Political Stability,0.047955564619687946,-0.22076595031035198,J1,Post-Study Visa,Duolingo,-0.20944267416577672,0
Ireland,India,Computer Science,-1.0367875935677116,No,Scholarship,-1.6284530403619846,1.3094392096325673,Schengen Student Visa,OPT,IELTS,0.5484361194017529,0
Finland,Germany,Social Sciences,1.006252826337281,No,Job Opportunities,-0.024101986269094284,1.8682813889284673,Study Permit,Post-Study Visa,IELTS,-2.5176027454083227,1
UAE,USA,Natural Sciences,0.828175325784252,Yes,Job Opportunities,-0.06032402447714735,1.2535203707018927,Study Permit,OPT,IELTS,-0.25718238444816083,1
USA,Germany,Engineering,-1.8020417159899913,No,Scholarship,-1.6127189979402672,-0.15662882313823312,F1,Post-Study Visa,None,-2.5401488081763604,0
USA,Russia,Engineering,-0.03446663008448341,No,Scholarship,0.7975041372884094,-2.1587422457098397,Schengen Student Visa,Work Permit,None,0.4004431165436086,1
UK,UAE,Medicine,-0.9352181615572431,No,Quality of Life,-0.05597933293861282,1.5263073850319604,Student Visa,Blue Card,IELTS,0.13425166795933818,0
South Africa,Canada,Law,1.7448557323305858,Yes,Higher Ranking,2.2817080238374574,0.5174107754315385,J1,OPT,None,-2.4541701741626802,1
South Africa,Canada,Natural Sciences,0.03679980632795927,Yes,Scholarship,0.8399382415784868,0.8088001278960981,F1,Work Permit,TOEFL,0.1591314821217837,0
Ireland,Finland,Arts,-0.9129921793791952,No,Quality of Life,0.07143342038854139,-1.6157472446626602,Tier 4,Post-Study Visa,TOEFL,1.1863792234392512,1
Germany,Russia,Law,-0.9399501751495085,Yes,Higher Ranking,-0.6960362956597566,1.6148432371094987,Schengen Student Visa,PSW,PTE,1.1316645237809562,0
Canada,Russia,Business,-0.034617208942285496,No,Higher Ranking,-0.8194642030827405,1.6861720880665585,Study Permit,Blue Card,IELTS,1.4254555301746659,0
USA,Russia,Natural Sciences,-0.9985875464086027,Yes,Quality of Life,-0.03574566216151402,2.1385759196296075,Tier 4,Work Permit,TOEFL,0.4414856041709053,0
UAE,Germany,Engineering,-1.9175161126315838,Yes,Quality of Life,-2.305027241699908,0.2159527686859204,Student Visa,Work Permit,PTE,-0.2568997774535456,0
Canada,USA,Medicine,0.8421604623151743,No,Job Opportunities,0.6594895475241701,0.20117192454850255,Tier 4,Work Permit,PTE,1.05581975317602,1
UAE,Finland,Social Sciences,0.04028661731177009,Yes,Higher Ranking,0.7273664584468631,-1.8937708051464912,Tier 4,Post-Study Visa,TOEFL,0.22554174626044066,1
South Africa,Germany,Natural Sciences,0.9798421471090629,No,Scholarship,0.6958493833379428,-1.7637862196650358,F1,PSW,None,0.5116411139400404,1
UK,South Africa,Business,-0.9994558709480941,No,Scholarship,-0.7385459415024378,-0.7973750218093875,J1,Work Permit,TOEFL,1.2596376198654953,1
India,South Africa,Business,-1.821355782122426,No,Higher Ranking,-0.8501761995652644,0.8641697015760228,F1,Blue Card,PTE,1.2810840974319337,0
India,Finland,Natural Sciences,1.7141753057624676,No,Job Opportunities,1.5884515577417482,0.01956499346120625,Study Permit,Post-Study Visa,Duolingo,0.9982058212428616,1
Germany,USA,Computer Science,-0.12396600753440894,No,Higher Ranking,-0.039762744077571376,-0.33494394849913756,Study Permit,Work Permit,None,1.3122685986251263,0
USA,Canada,Engineering,1.7881192306477292,No,Job Opportunities,1.5192592274442693,2.15911963873273,J1,PSW,PTE,0.7444063335718898,1
India,Canada,Computer Science,-0.9588214297967329,No,Scholarship,0.08445119647692227,-2.2088405287528143,F1,Post-Study Visa,Duolingo,0.518770341073776,0
India,UK,Arts,-0.11341386442229971,No,Political Stability,-0.8078504115351071,1.0484792018344484,Study Permit,OPT,TOEFL,0.6547538602671116,0
Canada,Germany,Business,-0.9920407177862074,Yes,Political Stability,0.022259539292373145,1.149446695753114,Schengen Student Visa,PSW,TOEFL,1.2353368463243413,0
South Africa,India,Computer Science,-0.8455164575925531,Yes,Job Opportunities,-1.5599995108958635,-1.4146474158211517,J1,OPT,Duolingo,-0.22237917470989382,0
Germany,Canada,Engineering,1.722177019842751,Yes,Scholarship,1.6226570531717492,-0.8737029118118445,Student Visa,Work Permit,PTE,1.0624332588044096,1
Germany,Finland,Engineering,-0.8612038131660542,Yes,Job Opportunities,-1.591356189141882,-1.1933211863452167,J1,Work Permit,TOEFL,0.7579702706510566,1
Russia,India,Computer Science,-1.8538624260947965,Yes,Scholarship,-1.525037447570782,1.961657533206967,Student Visa,PSW,TOEFL,0.18665108856723447,1
Russia,Ireland,Business,-1.8951790053968625,No,Scholarship,-2.344437852568897,0.15790246946034608,J1,PSW,IELTS,0.08832463109359066,1
Ireland,UAE,Arts,-0.008634240736190707,Yes,Higher Ranking,-0.06387510553402498,1.757565934166677,Student Visa,Work Permit,TOEFL,-2.4804908465666635,1
Finland,Ireland,Engineering,1.7901328286932345,No,Quality of Life,0.8250435986222036,1.4437667679684778,Schengen Student Visa,Work Permit,PTE,1.0398140660222999,0
India,Russia,Business,-1.8064529593710588,No,Scholarship,-2.4292673696006006,-1.2074824017008692,Study Permit,Work Permit,PTE,-0.2040523851399796,1
India,Finland,Computer Science,0.021403094109605822,No,Quality of Life,0.6826430584418183,-2.281839446957917,Study Permit,Work Permit,PTE,1.3970226791423541,0
Russia,Ireland,Business,-0.9287795053372198,Yes,Political Stability,-0.8333915604268542,2.0873248403848703,Student Visa,OPT,None,-2.4483915039059427,1
USA,South Africa,Law,-1.7560582083519436,Yes,Job Opportunities,-2.2678035552525193,1.181000266822499,Schengen Student Visa,Blue Card,IELTS,-2.510357154278297,1
UK,UK,Social Sciences,-0.9153682303494323,No,Political Stability,-1.5754923578769986,-1.0173507757158398,Tier 4,PSW,TOEFL,1.4502326515987831,1
Canada,South Africa,Computer Science,-0.9604090496374609,No,Quality of Life,-0.04713559695861904,-0.5010376909297802,J1,PSW,Duolingo,0.46715678212187184,1
USA,Finland,Natural Sciences,-1.8754118510455964,No,Scholarship,-1.573800955165271,-0.36691776315719005,Schengen Student Visa,Work Permit,None,-2.472566099172355,0
UAE,Canada,Computer Science,0.899152357519409,Yes,Job Opportunities,0.00564285256746698,0.2231569280516093,Student Visa,PSW,TOEFL,0.23351668027199798,0
Finland,South Africa,Business,1.7620403819040382,No,Job Opportunities,2.249698305220402,-1.592665869365179,Student Visa,PSW,PTE,0.10196156871177,0
Germany,USA,Arts,-0.8912057789681053,Yes,Quality of Life,-1.6015200773309555,-0.4553721299330144,Study Permit,Post-Study Visa,Duolingo,0.5240112728961573,0
Ireland,Russia,Social Sciences,-0.9608096585883619,Yes,Higher Ranking,-1.5610786032682196,-1.3683907580753711,Tier 4,Work Permit,TOEFL,-0.08889825792328666,1
Canada,UK,Natural Sciences,-0.8621855172093799,Yes,Quality of Life,-1.5213615261909776,-0.14385538098209294,Tier 4,Blue Card,Duolingo,-2.5035645250431666,1
UK,USA,Law,-0.016955219298803864,No,Scholarship,-0.8515184731816045,0.6420566857649103,Student Visa,PSW,PTE,0.18889288529084938,0
Germany,Finland,Arts,0.9526045814724677,No,Quality of Life,0.8074691266965136,0.2469896764394636,Student Visa,Work Permit,IELTS,1.22409411897766,1
UK,India,Law,-1.86836359595546,No,Job Opportunities,-0.694258894627839,1.9626929645581244,J1,Blue Card,IELTS,1.0262932522670318,0
Germany,UAE,Social Sciences,-1.8128297866786496,No,Job Opportunities,-0.7629620296932895,-1.3173038745000478,J1,Blue Card,Duolingo,0.40656788049667725,1
Canada,Finland,Medicine,-0.00823777783908764,No,Job Opportunities,0.7350978657932848,-0.06677180579488898,Tier 4,Post-Study Visa,IELTS,0.28887147491361487,0
USA,Canada,Business,1.877284969003725,Yes,Scholarship,1.5497540885547492,-2.004824919181938,J1,OPT,TOEFL,0.7660446393492458,1
Finland,Canada,Business,-0.08193908903415327,Yes,Quality of Life,-0.8255483830980105,0.40655116007034386,J1,Work Permit,PTE,1.292232814172569,1
Germany,UK,Natural Sciences,-0.9308293787036883,Yes,Political Stability,-1.5756654987112615,-1.3319110919897368,Tier 4,OPT,Duolingo,1.1032502800956052,0
Russia,Ireland,Law,1.7321539063658757,No,Job Opportunities,1.542292222485147,-1.8362168645614685,Schengen Student Visa,OPT,None,-0.20552576496079117,1
Ireland,Ireland,Social Sciences,0.8143678685456328,No,Scholarship,0.7241584265807157,-0.16893439115179687,Study Permit,Work Permit,TOEFL,0.36694331472534836,1
Germany,Ireland,Social Sciences,-1.9268340815375862,Yes,Scholarship,-0.8064489578494453,-1.2930618343108562,Schengen Student Visa,Blue Card,IELTS,-0.18623922264550505,0
South Africa,India,Business,1.796989061570748,No,Quality of Life,2.260329555278385,-0.5667040157723852,J1,Blue Card,IELTS,-2.4237626441519438,1
UAE,USA,Social Sciences,1.7879102273160175,Yes,Political Stability,1.6139612558075278,2.117871439819179,Tier 4,Work Permit,IELTS,0.11731726703330252,1
UK,UK,Natural Sciences,-1.9010175311325723,No,Higher Ranking,-2.3729015912427753,-2.2958135712926326,Student Visa,Post-Study Visa,Duolingo,0.5679895295035334,0
UK,UAE,Arts,-0.851090596254691,Yes,Higher Ranking,-0.8737219582775168,-0.9170713697487132,F1,Post-Study Visa,IELTS,0.9826759516490823,1
India,India,Natural Sciences,1.8631839707538465,Yes,Political Stability,0.7384670860584956,-1.0817489469075254,Schengen Student Visa,PSW,PTE,1.2940733123678112,0
Russia,UK,Computer Science,-1.877998542791795,No,Higher Ranking,-0.784707222439926,2.0602102999298273,Tier 4,OPT,None,-2.496000344413122,0
Finland,USA,Natural Sciences,0.930670555919985,No,Quality of Life,0.7820894957363493,-0.42018675280893153,Study Permit,PSW,None,-2.4449488798852523,0
Finland,Ireland,Medicine,-1.818482752135429,No,Scholarship,-1.5789909580315258,1.8132460244544908,Tier 4,OPT,PTE,0.3820029846278017,0
Ireland,South Africa,Arts,-1.7622459261644106,Yes,Quality of Life,-1.516111106420715,0.5204718395167431,Study Permit,Blue Card,Duolingo,0.12848163304466034,0
Finland,India,Medicine,-1.8047106444240368,No,Political Stability,-2.4184756081420353,0.26180007087174373,J1,Blue Card,TOEFL,1.2824482427527746,0
UK,UAE,Arts,1.7779203029423376,No,Job Opportunities,0.6981363342798494,-0.9759933340106225,Schengen Student Visa,Post-Study Visa,None,-2.4651369462040655,0
Ireland,South Africa,Engineering,-1.8055202114474653,No,Quality of Life,-2.397463197109978,-1.4195290358655603,Schengen Student Visa,Work Permit,None,-2.456825732346008,0
Germany,Germany,Arts,0.011655912412766563,No,Higher Ranking,-0.8170081677376149,-1.5676234510268798,J1,Work Permit,Duolingo,0.16895083944599115,1
South Africa,UK,Natural Sciences,0.019607551360604276,No,Scholarship,0.006492453209208507,-0.31923688920957577,Schengen Student Visa,Work Permit,TOEFL,-2.4968641726677268,1
UK,UAE,Computer Science,0.8095580064620507,Yes,Higher Ranking,-0.07671689830629742,1.6516217738024905,Tier 4,PSW,IELTS,-2.468382110379849,1
Canada,India,Computer Science,0.0479598026483343,Yes,Scholarship,0.05840433336292904,-1.4878942155170904,Schengen Student Visa,Post-Study Visa,None,1.0564856004241852,1
Ireland,Ireland,Business,-1.0884737281957453,Yes,Higher Ranking,-0.8567966782278778,1.2351161647521351,F1,Work Permit,PTE,0.5317841212421699,0
Russia,UK,Arts,-0.8606025621560804,Yes,Job Opportunities,-0.08612423698882589,1.732983508454902,Tier 4,PSW,IELTS,-0.10196289045255233,1
Finland,Finland,Business,-1.8223392366283846,Yes,Job Opportunities,-2.355725984121263,-0.8253698212702925,Schengen Student Visa,Blue Card,PTE,-0.09817688968379301,1
Russia,Germany,Law,1.7377239299075273,Yes,Scholarship,2.4241200108117793,1.4010863771345152,Tier 4,OPT,Duolingo,-0.3177897581676739,0
UAE,South Africa,Arts,0.8868307414870163,Yes,Political Stability,0.7959278137760889,-1.4463904318642167,Study Permit,Blue Card,IELTS,1.1622513643137005,1
South Africa,UK,Social Sciences,1.899274142617064,Yes,Political Stability,1.4820489049280958,2.289967393902188,Schengen Student Visa,OPT,Duolingo,-0.166302040463809,1
Canada,South Africa,Medicine,0.06486001416870363,No,Political Stability,0.7253533160209067,0.9433018955656526,Schengen Student Visa,Post-Study Visa,TOEFL,0.786847177449537,0
South Africa,South Africa,Engineering,-1.8651855865672415,Yes,Job Opportunities,-1.5599337826295183,0.6355487249903932,Schengen Student Visa,Work Permit,PTE,1.486805682438166,1
South Africa,Canada,Engineering,0.057156649999507904,No,Political Stability,0.8080414807617206,-1.5250640038749037,Student Visa,OPT,TOEFL,-0.223032960484583,0
UAE,Canada,Social Sciences,-1.006536320242308,Yes,Political Stability,-0.08398305239752869,1.707830348856647,Tier 4,Blue Card,None,0.8587878725592487,0
Finland,Ireland,Computer Science,0.010277297568869389,No,Higher Ranking,0.025037212680512542,-1.3982403248204305,Schengen Student Visa,Blue Card,Duolingo,-0.24812250159659827,1
Finland,Ireland,Business,-1.6927028609845662,Yes,Higher Ranking,-1.5741307934916495,1.5183312307860435,J1,PSW,TOEFL,-0.03100777066837533,0
Germany,Ireland,Law,-0.9297849749798833,Yes,Quality of Life,-0.02106967395703363,1.3684061558217444,F1,Post-Study Visa,None,0.31689768071020125,0
Germany,Canada,Engineering,0.9232856591579104,Yes,Job Opportunities,1.5570362231304418,-2.1737428651987303,F1,Post-Study Visa,Duolingo,0.025930350093220526,1
Ireland,Russia,Law,-0.014689278818628441,No,Quality of Life,-0.05673806822376519,1.9748435261169126,Tier 4,Post-Study Visa,TOEFL,0.1552242045462596,0
Canada,Finland,Business,-1.844752711981355,Yes,Higher Ranking,-0.6960814638467837,0.36939876069540445,J1,Work Permit,TOEFL,0.18724583449434187,0
India,Russia,Law,1.7877109260361328,No,Political Stability,2.3182657031472207,-0.16248210343096295,Schengen Student Visa,Work Permit,None,1.346855868789484,0
Russia,Canada,Social Sciences,-0.9730775834945062,Yes,Higher Ranking,-0.8007229774364273,2.1052800348896366,Schengen Student Visa,Blue Card,None,-2.53148603014211,0
UK,Ireland,Social Sciences,-1.0101987022282501,Yes,Higher Ranking,-1.592479815838495,-1.6856834790062207,Tier 4,Work Permit,Duolingo,1.2248036148924515,0
Russia,South Africa,Natural Sciences,0.8882604059406759,No,Job Opportunities,0.03157354689327538,-0.20444836080252232,J1,Post-Study Visa,Duolingo,0.3408761222687131,1
India,UAE,Arts,-1.7747119134237073,Yes,Job Opportunities,-0.8163138747094129,0.32043295571376673,Schengen Student Visa,PSW,TOEFL,1.177955321001794,0
UAE,UK,Medicine,0.9072212639447066,Yes,Quality of Life,0.8888177123887782,-0.28028780615544213,J1,OPT,IELTS,0.8754057773650555,1
Finland,Ireland,Business,-1.84409580424305,No,Higher Ranking,-1.6312409902456917,0.773750928060735,Tier 4,Blue Card,None,-2.467761851595297,0
USA,Ireland,Social Sciences,-0.9960748761559948,Yes,Higher Ranking,-1.6689366280388462,0.4356841535001328,Tier 4,Blue Card,Duolingo,0.8158275865726272,1
Russia,Germany,Natural Sciences,1.881795239272141,Yes,Scholarship,0.8019353932354425,-0.4383047082992177,Tier 4,OPT,PTE,0.23427125920586783,1
Canada,Finland,Social Sciences,1.631224048906477,No,Quality of Life,1.5911790947722269,1.5101947550916066,Study Permit,Work Permit,IELTS,1.1614791639275386,1
